domain,BCS,ID,literals,def,usage,hypernymID,hypernym_literals,hypernym_def,hypernym_usage,Prevod literala,Prevod def
medicine,,ENG30-14221601-n,acantholysis,a breakdown of a cell layer in the epidermis (as in pemphigus),-,ENG30-14219661-n,skin disease; disease of the skin; skin disorder; skin problem; skin condition,a disease affecting the skin,-,,
medicine,,ENG30-14266521-n,-,a purplish discoloration of the mucous membrane of the vagina that occurs early in pregnancy,-,ENG30-14299637-n,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,-,,
medicine,,ENG30-14546432-n,fitness; physical fitness; good shape; good condition,good physical condition; being in shape or in condition,-,ENG30-13923440-n,condition; shape,the state of (good) health (especially in the phrases `in condition` or `in shape` or `out of condition` or `out of shape`),-,,
medicine,,ENG30-00832626-n,cardiopulmonary resuscitation; CPR; cardiac resuscitation; mouth-to-mouth resuscitation; kiss of life,an emergency procedure consisting of external cardiac massage and artificial respiration; the first treatment for a person who has collapsed and has no pulse and has stopped breathing; attempts to restore circulation of the blood and prevent death or brain damage due to lack of oxygen,-,ENG30-00177783-n,emergency procedure,(medicine) a procedure adopted to meet an emergency (especially a medical emergency),-,,
medicine,,ENG30-14258176-n,angiitis,inflammation of a blood vessel or lymph duct,-,ENG30-14071419-n,angiopathy,any disease of the blood vessels or lymph ducts,-,,
medicine,,ENG30-00002942-v,hyperventilate,breathe excessively hard and fast,1 : The mountain climber started to hyperventilate,ENG30-00001740-v,breathe; take a breath; respire; suspire,"draw air into, and expel out of, the lungs",1 : The patient is respiring | 2 : I can breathe better when the air is clean,,
medicine,,ENG30-14567956-n,steatorrhea,the presence of greater than normal amounts of fat in the feces which are frothy and foul smelling and floating; a symptom of disorders of fat metabolism and malabsorption syndrome,-,ENG30-14299637-n,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,-,,
medicine,,ENG30-14316714-n,edema; oedema; hydrops; dropsy,swelling from excessive accumulation of serous fluid in tissue,-,ENG30-14315192-n,swelling; puffiness; lump,abnormal protuberance or localized enlargement,-,,
medicine,,ENG30-14214486-n,cleft palate,a congenital fissure of the hard palate,-,ENG30-14465048-n,birth defect; congenital anomaly; congenital defect; congenital disorder; congenital abnormality,a defect that is present at birth,-,,
medicine,,ENG30-14507651-n,porphyria,a genetic abnormality of metabolism causing abdominal pains and mental confusion,-,ENG30-14151139-n,genetic disease; genetic disorder; genetic abnormality; genetic defect; congenital disease; inherited disease; inherited disorder; hereditary disease; hereditary condition,a disease or disorder that is inherited genetically,-,,
medicine,,ENG30-02818958-a,tubercular,characterized by the presence of tuberculosis lesions or tubercles,1 : tubercular leprosy,,-,-,-,,
medicine,,ENG30-14081297-n,ulatrophia,recession of the gums,-,ENG30-14080622-n,periodontal disease; periodontitis,a disease that attacks the gum and bone and around the teeth,-,,
medicine,,ENG30-14320016-n,jaundice of the newborn; physiological jaundice of the newborn; icterus neonatorum,yellowish appearance in newborn infants; usually subsides spontaneously,-,ENG30-14319684-n,jaundice; icterus,yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia,-,,
medicine,,ENG30-00685349-n,minor surgery,any surgical procedure that does not involve anesthesia or respiratory assistance,-,ENG30-00671351-n,operation; surgery; surgical operation; surgical procedure; surgical process,a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body,1 : he died while undergoing surgery | 2 : they will schedule the operation as soon as an operating room is available,,
medicine,,ENG30-14017332-n,depletion,the state of being depleted,-,ENG30-14015731-n,temporary state,a state that continues for a limited time,-,,
medicine,,ENG30-14352334-n,pancreatitis,inflammation of the pancreas; usually marked by abdominal pain,-,ENG30-14336539-n,inflammation; redness; rubor,a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat,-,,
medicine,,ENG30-01178458-a,varicose,abnormally swollen or knotty,1 : varicose veins,,-,-,-,,
medicine,,ENG30-03031733-a,Freudian,of or relating to Sigmund Freud or his psychoanalytic ideas,1 : Freudian theories,,-,-,-,,
medicine,,ENG30-14241968-n,lymphoma,a neoplasm of lymph tissue that is usually malignant; one of the four major types of cancer,-,ENG30-14239918-n,cancer; malignant neoplastic disease,any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,-,,
medicine,,ENG30-14254102-n,actinomycosis,disease of cattle that can be transmitted to humans; results from infection with actinomycetes; characterized by hard swellings that exude pus through long sinuses,-,ENG30-14276649-n,zoonosis; zoonotic disease,an animal disease that can be transmitted to humans,-,,
medicine,,ENG30-01018788-a,crippled; halt; halting; lame; game,disabled in the feet or legs,1 : a game leg | 2 : a crippled soldier,,-,-,-,,
medicine,,ENG30-02691028-a,chancroidal,of or relating to or having chancroids,-,,-,-,-,,
medicine,,ENG30-14312481-n,head,the tip of an abscess (where the pus accumulates),-,ENG30-13902482-n,point; tip; peak,a V shape,1 : the cannibal’s teeth were filed to sharp points,,
medicine,,ENG30-14222788-n,atopic dermatitis; atopic eczema,a severe form of dermatitis characterized by atopy,-,ENG30-14224757-n,dermatitis,inflammation of the skin; skin becomes itchy and may develop blisters,-,,
medicine,,ENG30-14112255-n,heart failure; coronary failure,inability of the heart to pump enough blood to sustain normal bodily functions,-,ENG30-14059663-n,failure,loss of ability to function normally,1 : kidney failure,,
medicine,,ENG30-14089240-n,musicogenic epilepsy,reflex epilepsy induced by music,-,ENG30-14090245-n,reflex epilepsy,a form of epilepsy in which attacks are induced by peripheral stimulation,-,,
medicine,,ENG30-14318360-n,tumidity; tumidness,slight swelling of an organ or part,-,ENG30-14315192-n,swelling; puffiness; lump,abnormal protuberance or localized enlargement,-,,
medicine,,ENG30-00683590-n,lobectomy,surgical removal of a lobe from any organ of the body (as the lung or brain),-,ENG30-00393369-n,ablation; extirpation; cutting out; excision,surgical removal of a body part or tissue,-,,
